Segundos_inicio,Segundos_final,Emocion
0,5,0
5,10,0
10,15,0
15,20,0
20,25,0
25,30,0
30,35,0
35,40,0
40,45,0
45,50,0
50,55,0
55,60,0
60,65,0
65,70,0
70,75,1
75,80,1
80,85,1
85,90,0
90,95,0
95,100,0
100,105,0
105,110,0
110,115,0
115,120,0
120,125,0
125,130,1
130,135,0
135,140,0
140,145,1
145,150,1
150,155,0
155,160,0
160,165,0
165,170,0
170,175,0
175,180,0
180,185,0
185,190,0
190,195,0
195,200,0
200,205,0
205,210,0
210,215,0
215,220,0
220,225,0
225,230,0
230,235,0
235,240,0
240,245,0
245,250,0
250,255,0
255,260,0
260,265,0
265,270,0
270,275,0
275,280,0
280,285,0
285,290,0
290,295,0
295,300,1
300,305,1
305,310,1
310,315,1
315,320,1
320,325,1
325,330,0
330,335,0
335,340,1
340,345,1
345,350,0
350,355,0
355,360,1
360,365,1
365,370,1
370,375,1
375,380,1
380,385,0
385,390,0
390,395,0
395,400,0
400,405,0
405,410,0
410,415,0
415,420,0
420,425,0
425,430,0
430,435,0
435,440,0
440,445,0
445,450,0
450,455,0
455,460,0
460,465,0
465,470,0
470,475,0
475,480,0
480,485,0
485,490,0
490,495,0
495,500,0
500,505,0
505,510,0
510,515,0
515,520,0
520,525,0
525,530,0
530,535,0
535,540,0
540,545,0
545,550,0
550,555,0
555,560,0
560,565,0
565,570,0
570,575,0
575,580,0
580,585,0
585,590,0
590,595,0
595,600,0
600,605,0
605,610,0
610,615,0
615,620,0
620,625,0
625,630,0
630,635,0
635,640,0
640,645,1
645,650,1
650,655,1
655,660,0
660,665,0
665,670,0
670,675,0
675,680,0
680,685,0
685,690,0
690,695,0
695,700,0
700,705,0
705,710,0
710,715,0
715,720,0
720,725,0
725,730,0
730,735,0
735,740,0
740,745,0
745,750,0
750,755,0
755,760,0
760,765,0
765,770,0
770,775,0
775,780,1
780,785,1
785,790,0
790,795,1
795,800,0
800,805,0
805,810,0
810,815,0
815,820,0
820,825,1
825,830,1
830,835,1
835,840,1
840,845,1
845,850,1
850,855,0
855,860,0
860,865,0
865,870,0
870,875,0
875,880,0
880,885,0
885,890,0
890,895,0
895,900,1
900,905,1
905,910,1
910,915,0
915,920,0
920,925,0
925,930,0
930,935,0
935,940,0
940,945,0
945,950,1
950,955,1
955,960,1
960,965,1
965,970,1
970,975,1
975,980,1
980,985,1
985,990,0
990,995,0
995,1000,0
1000,1005,0
1005,1010,0
1010,1015,0
1015,1020,0
1020,1025,0
1025,1030,0
1030,1035,0
1035,1040,1
1040,1045,0
1045,1050,0
1050,1055,0
1055,1060,0
1060,1065,0
1065,1070,0
1070,1075,0
1075,1080,0
1080,1085,0
1085,1090,0
1090,1095,0
1095,1100,1
1100,1105,1
1105,1110,1
1110,1115,1
1115,1120,1
1120,1125,1
1125,1130,1
1130,1135,1
1135,1140,1
1140,1145,1
1145,1150,1
1150,1155,1
1155,1160,1
1160,1165,1
1165,1170,1
1170,1175,0
1175,1180,0
1180,1185,0
1185,1190,0
1190,1195,0
1195,1200,0
1200,1205,0
1205,1210,0
1210,1215,0
1215,1220,0
1220,1225,0
1225,1230,0
1230,1235,0
1235,1240,0
1240,1245,0
1245,1250,0
1250,1255,1
1255,1260,1
1260,1265,1
1265,1270,1
1270,1275,1
1275,1280,1
1280,1285,0
1285,1290,0
1290,1295,0
1295,1300,0
1300,1305,0
1305,1310,0
1310,1315,0
1315,1320,0
1320,1325,0
1325,1330,0
1330,1335,0
1335,1340,0
1340,1345,0
1345,1350,0
1350,1355,0
1355,1360,0
1360,1365,0
1365,1370,0
1370,1375,0
1375,1380,1
1380,1385,1
1385,1390,1
1390,1395,1
1395,1400,0
1400,1405,0
1405,1410,0
1410,1415,0
1415,1420,0
1420,1425,0
1425,1430,0
1430,1435,0
