Title,Artist,LAST WEEK,PEAK POS.,WKS ON CHART
Flowers,Miley Cyrus,1,1,6
Kill Bill,SZA,2,2,11
"Boy's A Liar, Pt. 2",PinkPantheress & Ice Spice,4,3,3
Creepin',"Metro Boomin, The Weeknd & 21 Savage",3,3,12
Last Night,Morgan Wallen,5,3,4
Die For You,The Weeknd,7,6,30
Unholy,Sam Smith & Kim Petras,6,1,22
Anti-Hero,Taylor Swift,8,1,18
Cuff It,Beyonce,9,6,28
I'm Good (Blue),David Guetta & Bebe Rexha,10,4,26
Just Wanna Rock,Lil Uzi Vert,11,10,19
As It Was,Harry Styles,12,1,47
Thank God,Kane Brown With Katelyn Brown,13,13,24
Rich Flex,Drake & 21 Savage,14,2,16
Thought You Should Know,Morgan Wallen,16,12,28
Rock And A Hard Place,Bailey Zimmerman,18,16,37
Players,Coi Leray,22,17,8
Under The Influence,Chris Brown,17,12,24
Calm Down,Rema & Selena Gomez,25,19,25
You Proof,Morgan Wallen,23,5,41
Made You Look,Meghan Trainor,20,11,18
Lavender Haze,Taylor Swift,24,2,18
Escapism,RAYE Featuring 070 Shake,26,22,12
"Going, Going, Gone",Luke Combs,27,23,15
Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown",29,8,12
Something In The Orange,Zach Bryan,21,10,44
Golden Hour,JVKE,19,10,26
Sure Thing,Miguel,31,28,30
Heart Like A Truck,Lainey Wilson,34,29,15
Bad Habit,Steve Lacy,28,1,34
Until I Found You,Stephen Sanchez,32,23,34
Shirt,SZA,30,11,17
Snooze,SZA,33,29,11
Painting Pictures,Superstar Pride,99,34,2
Wait For U,Future Featuring Drake & Tems,36,1,40
The Kind Of Love We Make,Luke Combs,35,8,31
I Like You (A Happier Song),Post Malone Featuring Doja Cat,39,3,35
Love You Anyway,Luke Combs,15,15,2
Bebe Dame,Fuerza Regida X Grupo Frontera,42,25,9
"Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira,40,9,6
Wait In The Truck,HARDY Featuring Lainey Wilson,43,23,25
She Had Me At Heads Carolina,Cole Swindell,47,16,35
Dawns,Zach Bryan Featuring Maggie Rogers,61,42,4
What My World Spins Around,Jordan Davis,49,40,28
About Damn Time,Lizzo,46,1,41
Tomorrow 2,GloRilla & Cardi B,45,9,22
Bloody Mary,Lady Gaga,55,47,8
Nobody Gets Me,SZA,51,10,11
Hope,NF,-,49,1
Unstoppable,Sia,50,28,28
Favorite Song,Toosii,-,51,1
Lift Me Up,Rihanna,41,2,17
What He Didn't Do,Carly Pearce,58,53,10
Love Again,The Kid LAROI,53,40,4
Special,Lizzo Featuring SZA,52,52,2
Que Vuelvas,Carin Leon X Grupo Frontera,54,50,9
Spin Bout U,Drake & 21 Savage,64,5,16
Handle On You,Parker McCollum,60,58,8
Wild As Her,Corey Kent,63,59,20
One Thing At A Time,Morgan Wallen,59,37,12
I Wrote The Book,Morgan Wallen,56,38,4
Watch This (ARIZONATEARS Pluggnb Remix),Lil Uzi Vert,-,62,1
Heaven,Niall Horan,-,63,1
Freestyle,Lil Baby,65,59,21
Low,SZA,62,17,11
Tennessee Orange,Megan Moroney,57,53,11
Next Thing You Know,Jordan Davis,96,67,5
In Ha Mood,Ice Spice,70,68,3
No Time Wasted,Polo G & Future,-,69,1
AMG,"Gabito Ballesteros, Peso Pluma & Natanael Cano",66,66,5
You Didn't,Brett Young,72,63,7
Nonsense,Sabrina Carpenter,68,56,6
10:35,Tiesto Featuring Tate McRae,69,69,5
Lost,Linkin Park,38,38,2
Ceilings,Lizzy McAlpine,-,75,1
Trance,"Metro Boomin, Travis Scott & Young Thug",-,42,77
That's What Tequila Does,Jason Aldean,78,77,78
Here With Me,d4vd,71,60,79
PRC,Peso Pluma X Natanael Cano,73,73,80
Everything I Love,Morgan Wallen,67,51,81
Forever,Lil Baby Featuring Fridayy,86,8,82
No Se Va,Grupo Frontera,75,57,83
Lottery,Latto Featuring LU KALA,-,83,84
The Color Violet,Tory Lanez,77,63,85
Human,Cody Johnson,88,84,86
Love You Better,Future,80,12,87
Dancin' In The Country,Tyler Hubbard,92,87,88
Hey Mor,Ozuna Featuring Feid,85,85,89
OMG,NewJeans,76,74,90
Yandel 150,Yandel & Feid,90,90,91
X Si Volvemos,Karol G x Romeo Santos,79,56,92
Too Many Nights,Metro Boomin Featuring Don Toliver & Future,97,22,93
Blind,SZA,81,12,94
Trustfall,P!nk,-,94,95
Do It Again,NLE Choppa & 2Rare,87,85,96
Slut Me Out,NLE Choppa,-,96,97
La Jumpa,Arcangel & Bad Bunny,82,68,98
Shut Up My Moms Calling,Hotel Ugly,83,68,99
Gold,Dierks Bentley,-,99,100
Back End,Finesse2Tymes,94,86,5
